"ID","Year","Release Date","Edition Name","Participant"
"1902A","2019","Feb 17, 2019","6KMembers","h3oCharles"
"1902A","2019","Feb 17, 2019","6KMembers","Pacs"
"1902A","2019","Feb 17, 2019","6KMembers","TheLukrie"
"1903A","2019","Mar 10, 2019","3rdAnniversary","h3oCharles"
"1903A","2019","Mar 10, 2019","3rdAnniversary","Pacs"
"1903A","2019","Mar 10, 2019","3rdAnniversary","Melodylockstar"
"1904A","2019","Apr 19, 2019","easter","Melodylockstar"
"1904A","2019","Apr 19, 2019","easter","Pacs"
"1904A","2019","Apr 19, 2019","easter","Festivity"
"1905A","2019","Mar 12, 2019","mothersDay","Melodylockstar"
"1905A","2019","Mar 12, 2019","mothersDay","Pacs"
"1905A","2019","Mar 12, 2019","mothersDay","Omee"
"1905B","2019","Mar 21, 2019","blackClover","Pacs"
"1905B","2019","Mar 21, 2019","blackClover","Omee"
"1905B","2019","Mar 21, 2019","blackClover","RuiRui"
"1906A","2019","Jun 3, 2019","summerTimeSwimsuit","Omee"
"1906A","2019","Jun 3, 2019","summerTimeSwimsuit","Melodylockstar"
"1906B","2019","Jun 23, 2019","7KMembers","Pacs"
"1906B","2019","Jun 23, 2019","7KMembers","RuiRui"
"1906B","2019","Jun 23, 2019","7KMembers","Festivity"
"1906B","2019","Jun 23, 2019","7KMembers","Omee"
"1907A","2019","Jul 16, 2019","violetEvergarden","Pacs"
"1907A","2019","Jul 16, 2019","violetEvergarden","Kymikx"
"1908A","2019","Aug 26, 2019","kyotoAnimation","Kymikx"
"1908A","2019","Aug 26, 2019","kyotoAnimation","EvansLikesJuice"
"1909A","2019","Sep 21, 2019","fateSeries","EvansLikesJuice"
"1909A","2019","Sep 21, 2019","fateSeries","Akito136"
"1909B","2019","Sep 21, 2019","school","Kymikx"
"1909B","2019","Sep 21, 2019","school","Crystaldragon36"
"1909B","2019","Sep 21, 2019","school","EvansLikesJuice"
"1910A","2019","Oct 31, 2019","halloween","Kymikx"
"1910A","2019","Oct 31, 2019","halloween","Crystaldragon36"
"1910A","2019","Oct 31, 2019","halloween","Redth_SA"
"1911A","2019","Nov 26, 2019","8KMembers","Redth_SA"
"1911A","2019","Nov 26, 2019","8KMembers","Pacs"
"1912A","2019","Dec 11, 2019","christmas","Redth_SA"
"1912A","2019","Dec 11, 2019","christmas","Crystaldragon36"